id,type,z_battle_stage_effect_escalation_type,banner_image_path,listbutton_image_path,announcement_id,priority,danger_line_hp,start_at,end_at,eventkagi_start_at,eventkagi_end_at,enable_battle_auto,cpu_friend_list_id,related_z_battle_stage_id,unlock_conditions
1,ZBattleStage::Normal,1,images/event/eve_banner/zbattle_list_banner_1.png,images/home/myp_banner_event_zbattle_001.png,200244,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2024-04-04 08:00:00,2030-01-01 00:00:00,1,514,,"{""level"": 30}"
2,ZBattleStage::Normal,2,images/event/eve_banner/zbattle_list_banner_2.png,images/home/myp_banner_event_zbattle_002.png,200255,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
3,ZBattleStage::Normal,3,images/event/eve_banner/zbattle_list_banner_3.png,images/home/myp_banner_event_zbattle_003.png,200269,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
4,ZBattleStage::Normal,4,images/event/eve_banner/zbattle_list_banner_4.png,images/home/myp_banner_event_zbattle_004.png,200284,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
5,ZBattleStage::Normal,5,images/event/eve_banner/zbattle_list_banner_5.png,images/home/myp_banner_event_zbattle_005.png,200291,0,35000,2018-12-14 08:00:00,2030-01-01 00:00:00,2018-12-11 01:30:00,2018-12-14 07:59:59,1,514,,{}
6,ZBattleStage::Normal,6,images/event/eve_banner/zbattle_list_banner_6.png,images/home/myp_banner_event_zbattle_006.png,200292,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
7,ZBattleStage::Normal,7,images/event/eve_banner/zbattle_list_banner_7.png,images/home/myp_banner_event_zbattle_007.png,200298,0,35000,2024-04-08 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
8,ZBattleStage::Normal,8,images/event/eve_banner/zbattle_list_banner_8.png,images/home/myp_banner_event_zbattle_008.png,200320,0,0,2018-08-16 05:00:00,2018-08-28 04:59:59,,,1,514,,{}
9,ZBattleStage::Normal,9,images/event/eve_banner/zbattle_list_banner_9.png,images/home/myp_banner_event_zbattle_009.png,200321,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
10,ZBattleStage::Normal,10,images/event/eve_banner/zbattle_list_banner_10.png,images/home/myp_banner_event_zbattle_010.png,200323,0,0,2018-09-13 05:00:00,2018-10-04 07:59:59,,,1,514,,{}
11,ZBattleStage::Normal,11,images/event/eve_banner/zbattle_list_banner_11.png,images/home/myp_banner_event_zbattle_011.png,200324,1,35000,2024-05-21 08:00:00,2024-06-06 07:59:59,2024-06-06 08:00:00,2030-01-01 00:00:00,1,514,,"{""level"": 30}"
12,ZBattleStage::Normal,12,images/event/eve_banner/zbattle_list_banner_12.png,images/home/myp_banner_event_zbattle_012.png,200326,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
13,ZBattleStage::Normal,13,images/event/eve_banner/zbattle_list_banner_13.png,images/home/myp_banner_event_zbattle_013.png,200331,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
14,ZBattleStage::Normal,14,images/event/eve_banner/zbattle_list_banner_14.png,images/home/myp_banner_event_zbattle_014.png,200337,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
15,ZBattleStage::Normal,15,images/event/eve_banner/zbattle_list_banner_15.png,images/home/myp_banner_event_zbattle_015_2_R.png,200348,0,35000,2019-05-09 06:00:00,2030-01-01 00:00:00,2019-03-05 08:00:00,2030-01-01 00:00:00,1,514,,{}
16,ZBattleStage::Normal,16,images/event/eve_banner/zbattle_list_banner_16.png,images/home/myp_banner_event_zbattle_016.png,200342,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
17,ZBattleStage::Normal,17,images/event/eve_banner/zbattle_list_banner_17.png,images/home/myp_banner_event_zbattle_017.png,200351,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
18,ZBattleStage::Normal,18,images/event/eve_banner/zbattle_list_banner_18.png,images/home/myp_banner_event_zbattle_018.png,200366,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
19,ZBattleStage::Normal,19,images/event/eve_banner/zbattle_list_banner_19.png,images/home/myp_banner_event_zbattle_019.png,200367,0,0,2022-01-29 06:00:00,2030-01-01 00:00:00,,,1,514,,{}
20,ZBattleStage::Normal,20,images/event/eve_banner/zbattle_list_banner_20.png,images/home/myp_banner_event_zbattle_020.png,200375,0,35000,2024-04-18 08:00:00,2024-05-30 07:59:59,2024-05-01 08:00:00,2030-01-01 00:00:00,1,514,,"{""level"": 30}"
21,ZBattleStage::Normal,21,images/event/eve_banner/zbattle_list_banner_21.png,images/home/myp_banner_event_zbattle_021.png,200371,0,35000,2019-08-20 05:00:00,2030-01-01 00:00:00,,,1,514,,{}
22,ZBattleStage::Normal,22,images/event/eve_banner/zbattle_list_banner_22.png,images/home/myp_banner_event_zbattle_022.png,200379,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
23,ZBattleStage::Normal,23,images/event/eve_banner/zbattle_list_banner_23.png,images/home/myp_banner_event_zbattle_023.png,200382,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
24,ZBattleStage::Normal,24,images/event/eve_banner/zbattle_list_banner_24.png,images/home/myp_banner_event_zbattle_024.png,200389,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
25,ZBattleStage::Normal,25,images/event/eve_banner/zbattle_list_banner_25.png,images/home/myp_banner_event_zbattle_025.png,200390,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
26,ZBattleStage::Normal,26,images/event/eve_banner/zbattle_list_banner_26.png,images/home/myp_banner_event_zbattle_026.png,200393,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
27,ZBattleStage::Normal,27,images/event/eve_banner/zbattle_list_banner_27.png,images/home/myp_banner_event_zbattle_027.png,200402,0,35000,2019-07-30 08:00:00,2030-01-01 00:00:00,,,1,514,,{}
28,ZBattleStage::Normal,28,images/event/eve_banner/zbattle_list_banner_28.png,images/home/myp_banner_event_zbattle_028.png,200406,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
29,ZBattleStage::Normal,29,images/event/eve_banner/zbattle_list_banner_29.png,images/home/myp_banner_event_zbattle_029.png,200414,0,0,2019-12-05 08:00:00,2030-01-01 00:00:00,,,1,514,,{}
30,ZBattleStage::Normal,30,images/event/eve_banner/zbattle_list_banner_30.png,images/home/myp_banner_event_zbattle_030.png,200430,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
31,ZBattleStage::Normal,31,images/event/eve_banner/zbattle_list_banner_31.png,images/home/myp_banner_event_zbattle_031.png,200438,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
32,ZBattleStage::Normal,32,images/event/eve_banner/zbattle_list_banner_32.png,images/home/myp_banner_event_zbattle_032.png,200453,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
33,ZBattleStage::Normal,33,images/event/eve_banner/zbattle_list_banner_33.png,images/home/myp_banner_event_zbattle_033.png,200442,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
34,ZBattleStage::Normal,34,images/event/eve_banner/zbattle_list_banner_34.png,images/home/myp_banner_event_zbattle_034.png,200458,0,35000,2020-04-24 06:00:00,2030-01-01 00:00:00,2020-03-03 08:00:00,2030-01-01 00:00:00,1,514,,{}
35,ZBattleStage::Normal,35,images/event/eve_banner/zbattle_list_banner_35.png,images/home/myp_banner_event_zbattle_035.png,200517,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
36,ZBattleStage::Normal,36,images/event/eve_banner/zbattle_list_banner_36.png,images/home/myp_banner_event_zbattle_036.png,200489,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
37,ZBattleStage::Normal,37,images/event/eve_banner/zbattle_list_banner_37.png,images/home/myp_banner_event_zbattle_037.png,200509,0,35000,2024-04-26 08:00:00,2024-05-30 07:59:59,2021-05-25 08:00:00,2030-01-01 00:00:00,1,514,,{}
